iter	Passed	Remaining
0	121	242087
1	126	126392
2	134	89253
3	138	69326
4	145	57959
5	147	49006
6	149	42564
7	151	37727
8	153	34013
9	156	31133
10	158	28683
11	160	26633
12	162	24889
13	164	23396
14	167	22101
15	169	21035
16	172	20164
17	175	19294
18	177	18501
19	179	17766
20	181	17094
21	183	16507
22	186	16023
23	188	15552
24	190	15080
25	192	14643
26	194	14243
27	196	13865
28	199	13545
29	202	13264
30	204	12992
31	206	12708
32	208	12435
33	210	12184
34	212	11950
35	215	11729
36	217	11558
37	220	11371
38	222	11181
39	224	10996
40	226	10826
41	228	10670
42	230	10504
43	233	10382
44	235	10251
45	238	10113
46	240	9983
47	242	9863
48	244	9737
49	246	9626
50	249	9535
51	251	9427
52	253	9319
53	255	9213
54	257	9123
55	259	9025
56	261	8927
57	265	8877
58	267	8802
59	269	8715
60	271	8642
61	274	8566
62	276	8490
63	278	8412
64	281	8379
65	283	8321
66	286	8267
67	288	8202
68	290	8138
69	292	8074
70	298	8106
71	300	8058
72	303	8011
73	306	7965
74	308	7915
75	311	7887
76	314	7848
77	316	7795
78	318	7740
79	320	7686
80	322	7633
81	324	7587
82	326	7548
83	329	7508
84	331	7464
85	333	7417
86	335	7372
87	337	7327
88	339	7288
89	341	7253
90	344	7225
91	346	7187
92	348	7149
93	350	7109
94	352	7070
95	354	7036
96	356	7000
97	359	6977
98	361	6949
99	363	6914
100	365	6879
101	368	6847
102	370	6819
103	372	6784
104	374	6762
105	377	6738
106	379	6707
107	381	6676
108	383	6644
109	385	6615
110	387	6587
111	389	6559
112	391	6539
113	393	6514
114	395	6488
115	397	6463
116	400	6443
117	402	6424
118	404	6395
119	406	6370
120	408	6342
121	410	6312
122	411	6282
123	413	6252
124	415	6228
125	416	6201
126	418	6174
127	420	6148
128	422	6128
129	424	6102
130	425	6075
131	427	6049
132	429	6024
133	431	6004
134	432	5979
135	434	5955
136	436	5932
137	438	5914
138	440	5891
139	441	5867
140	443	5844
141	445	5824
142	446	5802
143	448	5779
144	450	5757
145	451	5735
146	453	5719
147	455	5701
148	457	5681
149	459	5663
150	460	5643
151	462	5624
152	464	5605
153	465	5585
154	467	5565
155	469	5551
156	471	5535
157	473	5517
158	475	5503
159	476	5484
160	478	5466
161	480	5449
162	481	5431
163	483	5414
164	486	5405
165	488	5392
166	489	5375
167	491	5358
168	492	5340
169	494	5323
170	496	5305
171	497	5289
172	499	5271
173	501	5265
174	503	5251
175	505	5237
176	507	5221
177	508	5207
178	510	5192
179	512	5178
180	513	5164
181	515	5150
182	517	5141
183	519	5126
184	521	5112
185	522	5098
